geo_type,region,transportation_type,alternative_name,sub-region,country,Date,Frequency
city,Charlotte,driving,NA,North Carolina,United States,2020-04-15,72.03
city,Charlotte,driving,NA,North Carolina,United States,2020-04-16,74.63
city,Charlotte,driving,NA,North Carolina,United States,2020-04-17,84.66
city,Charlotte,driving,NA,North Carolina,United States,2020-04-18,76.82
city,Charlotte,driving,NA,North Carolina,United States,2020-04-19,56.51
city,Charlotte,driving,NA,North Carolina,United States,2020-04-20,69.84
city,Charlotte,driving,NA,North Carolina,United States,2020-04-21,74.8
city,Charlotte,driving,NA,North Carolina,United States,2020-04-22,75.96
city,Charlotte,driving,NA,North Carolina,United States,2020-04-23,69.89
city,Charlotte,driving,NA,North Carolina,United States,2020-04-24,88.41
city,Charlotte,driving,NA,North Carolina,United States,2020-04-25,77.18
city,Charlotte,driving,NA,North Carolina,United States,2020-04-26,63.07
city,Charlotte,driving,NA,North Carolina,United States,2020-04-27,78.45
city,Charlotte,driving,NA,North Carolina,United States,2020-04-28,81.29
city,Charlotte,driving,NA,North Carolina,United States,2020-04-29,80.56
city,Charlotte,driving,NA,North Carolina,United States,2020-04-30,83.98
city,Charlotte,driving,NA,North Carolina,United States,2020-05-01,97.17
city,Charlotte,driving,NA,North Carolina,United States,2020-05-02,89.53
city,Charlotte,driving,NA,North Carolina,United States,2020-05-03,72.68
city,Charlotte,driving,NA,North Carolina,United States,2020-05-04,86.08
city,Charlotte,driving,NA,North Carolina,United States,2020-05-05,84.26
city,Charlotte,driving,NA,North Carolina,United States,2020-05-06,88.97
city,Charlotte,driving,NA,North Carolina,United States,2020-05-07,95.54
city,Charlotte,driving,NA,North Carolina,United States,2020-05-08,103.36
city,Charlotte,driving,NA,North Carolina,United States,2020-05-09,103.79
city,Charlotte,driving,NA,North Carolina,United States,2020-05-10,75.83
city,Charlotte,driving,NA,North Carolina,United States,2020-05-11,NA
city,Charlotte,driving,NA,North Carolina,United States,2020-05-12,NA
city,Charlotte,driving,NA,North Carolina,United States,2020-05-13,100.31
city,Charlotte,driving,NA,North Carolina,United States,2020-05-14,106.97
city,Charlotte,driving,NA,North Carolina,United States,2020-05-15,122.69
city,Charlotte,driving,NA,North Carolina,United States,2020-05-16,116.19
city,Charlotte,driving,NA,North Carolina,United States,2020-05-17,90.76
city,Charlotte,driving,NA,North Carolina,United States,2020-05-18,103.55
city,Charlotte,driving,NA,North Carolina,United States,2020-05-19,100.48
city,Charlotte,driving,NA,North Carolina,United States,2020-05-20,99.66
city,Charlotte,driving,NA,North Carolina,United States,2020-05-21,107.29
city,Charlotte,driving,NA,North Carolina,United States,2020-05-22,129.38
city,Charlotte,driving,NA,North Carolina,United States,2020-05-23,124.07
city,Charlotte,driving,NA,North Carolina,United States,2020-05-24,93.18
city,Charlotte,driving,NA,North Carolina,United States,2020-05-25,93.3
city,Charlotte,driving,NA,North Carolina,United States,2020-05-26,113.42
city,Charlotte,driving,NA,North Carolina,United States,2020-05-27,107.17
city,Charlotte,driving,NA,North Carolina,United States,2020-05-28,117.46
city,Charlotte,driving,NA,North Carolina,United States,2020-05-29,130.86
city,Charlotte,driving,NA,North Carolina,United States,2020-05-30,132.29
city,Charlotte,driving,NA,North Carolina,United States,2020-05-31,101.74
city,Charlotte,driving,NA,North Carolina,United States,2020-06-01,119.39
city,Charlotte,driving,NA,North Carolina,United States,2020-06-02,121.32
city,Charlotte,driving,NA,North Carolina,United States,2020-06-03,122.35
city,Charlotte,driving,NA,North Carolina,United States,2020-06-04,127.76
city,Charlotte,driving,NA,North Carolina,United States,2020-06-05,142.9
city,Charlotte,driving,NA,North Carolina,United States,2020-06-06,138.37
city,Charlotte,driving,NA,North Carolina,United States,2020-06-07,107.46
city,Charlotte,driving,NA,North Carolina,United States,2020-06-08,124.35
city,Charlotte,driving,NA,North Carolina,United States,2020-06-09,126.05
city,Charlotte,driving,NA,North Carolina,United States,2020-06-10,128.53
city,Charlotte,driving,NA,North Carolina,United States,2020-06-11,137.39
city,Charlotte,driving,NA,North Carolina,United States,2020-06-12,153.22
city,Charlotte,driving,NA,North Carolina,United States,2020-06-13,148.37
city,Charlotte,driving,NA,North Carolina,United States,2020-06-14,112.77
city,Charlotte,driving,NA,North Carolina,United States,2020-06-15,123.8
city,Charlotte,driving,NA,North Carolina,United States,2020-06-16,117.79
city,Charlotte,driving,NA,North Carolina,United States,2020-06-17,125.91
city,Charlotte,driving,NA,North Carolina,United States,2020-06-18,134.43
city,Charlotte,driving,NA,North Carolina,United States,2020-06-19,155.36
city,Charlotte,driving,NA,North Carolina,United States,2020-06-20,151.04
city,Charlotte,driving,NA,North Carolina,United States,2020-06-21,108.1
city,Charlotte,driving,NA,North Carolina,United States,2020-06-22,129.65
city,Charlotte,driving,NA,North Carolina,United States,2020-06-23,133.17
city,Charlotte,driving,NA,North Carolina,United States,2020-06-24,134.78
city,Charlotte,driving,NA,North Carolina,United States,2020-06-25,140.1
city,Charlotte,driving,NA,North Carolina,United States,2020-06-26,157.89
city,Charlotte,driving,NA,North Carolina,United States,2020-06-27,151.17
city,Charlotte,driving,NA,North Carolina,United States,2020-06-28,113.56
city,Charlotte,driving,NA,North Carolina,United States,2020-06-29,132.98
city,Charlotte,driving,NA,North Carolina,United States,2020-06-30,134.31
city,Charlotte,driving,NA,North Carolina,United States,2020-07-01,138.88
city,Charlotte,driving,NA,North Carolina,United States,2020-07-02,148.74
city,Charlotte,driving,NA,North Carolina,United States,2020-07-03,147.62
city,Charlotte,driving,NA,North Carolina,United States,2020-07-04,118.78
city,Charlotte,driving,NA,North Carolina,United States,2020-07-05,105.19
city,Charlotte,driving,NA,North Carolina,United States,2020-07-06,129.68
city,Charlotte,driving,NA,North Carolina,United States,2020-07-07,128.38
city,Charlotte,driving,NA,North Carolina,United States,2020-07-08,134.49
city,Charlotte,driving,NA,North Carolina,United States,2020-07-09,140.85
city,Charlotte,driving,NA,North Carolina,United States,2020-07-10,159.26
city,Charlotte,driving,NA,North Carolina,United States,2020-07-11,152.04
city,Charlotte,driving,NA,North Carolina,United States,2020-07-12,114.85
city,Charlotte,driving,NA,North Carolina,United States,2020-07-13,132
city,Charlotte,driving,NA,North Carolina,United States,2020-07-14,134.69
city,Charlotte,driving,NA,North Carolina,United States,2020-07-15,136.51
city,Charlotte,driving,NA,North Carolina,United States,2020-07-16,143.25
city,Charlotte,driving,NA,North Carolina,United States,2020-07-17,157.12
city,Charlotte,driving,NA,North Carolina,United States,2020-07-18,149.72
city,Charlotte,driving,NA,North Carolina,United States,2020-07-19,116.58
city,Charlotte,driving,NA,North Carolina,United States,2020-07-20,130.96
city,Charlotte,driving,NA,North Carolina,United States,2020-07-21,135.1
city,Charlotte,driving,NA,North Carolina,United States,2020-07-22,139.92
city,Charlotte,driving,NA,North Carolina,United States,2020-07-23,142.35
city,Charlotte,driving,NA,North Carolina,United States,2020-07-24,159.35
city,Charlotte,driving,NA,North Carolina,United States,2020-07-25,155.42
city,Charlotte,driving,NA,North Carolina,United States,2020-07-26,118.77
city,Charlotte,driving,NA,North Carolina,United States,2020-07-27,136.07
city,Charlotte,driving,NA,North Carolina,United States,2020-07-28,137.43
city,Charlotte,driving,NA,North Carolina,United States,2020-07-29,137.99
city,Charlotte,driving,NA,North Carolina,United States,2020-07-30,142.69
city,Charlotte,driving,NA,North Carolina,United States,2020-07-31,158.69
city,Charlotte,driving,NA,North Carolina,United States,2020-08-01,153.7
city,Charlotte,driving,NA,North Carolina,United States,2020-08-02,115.23
city,Charlotte,driving,NA,North Carolina,United States,2020-08-03,129.67
city,Charlotte,driving,NA,North Carolina,United States,2020-08-04,139.42
city,Charlotte,driving,NA,North Carolina,United States,2020-08-05,138.26
city,Charlotte,driving,NA,North Carolina,United States,2020-08-06,142.58
city,Charlotte,driving,NA,North Carolina,United States,2020-08-07,160.34
